datetime,open,high,low,close,volume,symbol
2026-04-12T22:00:00+00:00,75.5,75.5,73.87,73.87,21,SIL
2026-04-12T22:01:00+00:00,74.055,74.6,74.055,74.29,27,SIL
2026-04-12T22:02:00+00:00,74.29,74.29,74.29,74.29,9,SIL
2026-04-12T22:03:00+00:00,74.115,74.2,74.115,74.12,6,SIL
2026-04-12T22:04:00+00:00,74.17,74.17,74.11,74.11,4,SIL
2026-04-12T22:05:00+00:00,74.275,74.35,74.27,74.35,3,SIL
2026-04-12T22:06:00+00:00,74.43,74.43,74.43,74.43,1,SIL
2026-04-12T22:07:00+00:00,74.44,74.5,74.345,74.345,7,SIL
2026-04-12T22:08:00+00:00,74.25,74.25,74.01,74.01,2,SIL
2026-04-12T22:09:00+00:00,74.315,74.315,74.315,74.315,1,SIL
2026-04-12T22:10:00+00:00,74.2,74.2,74.2,74.2,1,SIL
2026-04-12T22:11:00+00:00,74.175,74.175,74.025,74.025,2,SIL
2026-04-12T22:12:00+00:00,74.045,74.175,73.835,73.995,19,SIL
2026-04-12T22:13:00+00:00,73.995,74.01,73.875,74.01,7,SIL
2026-04-12T22:14:00+00:00,74.045,74.045,73.875,73.875,5,SIL
2026-04-12T22:15:00+00:00,73.95,73.95,73.845,73.845,3,SIL
2026-04-12T22:16:00+00:00,73.77,73.9,73.71,73.9,6,SIL
2026-04-12T22:17:00+00:00,73.95,74.125,73.95,74.125,10,SIL
2026-04-12T22:18:00+00:00,74.115,74.175,74.115,74.145,3,SIL
2026-04-12T22:19:00+00:00,74.0,74.0,74.0,74.0,1,SIL
2026-04-12T22:20:00+00:00,73.955,73.955,73.955,73.955,1,SIL
2026-04-12T22:21:00+00:00,73.86,73.86,73.85,73.85,2,SIL
2026-04-12T22:22:00+00:00,73.73,73.73,73.73,73.73,1,SIL
2026-04-12T22:23:00+00:00,73.57,73.57,73.175,73.455,18,SIL
2026-04-12T22:24:00+00:00,73.54,73.63,73.535,73.63,4,SIL
2026-04-12T22:25:00+00:00,73.545,73.565,73.52,73.565,5,SIL
2026-04-12T22:26:00+00:00,73.505,73.505,73.505,73.505,1,SIL
2026-04-12T22:27:00+00:00,73.54,73.545,73.54,73.545,4,SIL
2026-04-12T22:29:00+00:00,73.55,73.55,73.55,73.55,1,SIL
2026-04-12T22:30:00+00:00,73.6,73.6,73.6,73.6,1,SIL
2026-04-12T22:31:00+00:00,73.555,73.555,73.515,73.515,2,SIL
2026-04-12T22:32:00+00:00,73.51,73.56,73.5,73.56,4,SIL
2026-04-12T22:33:00+00:00,73.79,73.8,73.79,73.8,4,SIL
2026-04-12T22:34:00+00:00,73.88,73.88,73.88,73.88,1,SIL
2026-04-12T22:36:00+00:00,73.86,73.86,73.86,73.86,1,SIL
2026-04-12T22:38:00+00:00,73.89,73.89,73.89,73.89,1,SIL
2026-04-12T22:39:00+00:00,73.875,73.9,73.875,73.88,4,SIL
2026-04-12T22:40:00+00:00,73.885,73.885,73.885,73.885,1,SIL
2026-04-12T22:41:00+00:00,73.865,73.865,73.865,73.865,1,SIL
2026-04-12T22:42:00+00:00,73.835,73.835,73.835,73.835,1,SIL
2026-04-12T22:45:00+00:00,73.91,73.91,73.91,73.91,1,SIL
2026-04-12T22:46:00+00:00,73.905,73.905,73.905,73.905,1,SIL
2026-04-12T22:49:00+00:00,74.03,74.03,74.03,74.03,1,SIL
2026-04-12T22:50:00+00:00,73.995,74.0,73.995,74.0,2,SIL
2026-04-12T22:51:00+00:00,74.01,74.01,74.01,74.01,1,SIL
2026-04-12T22:53:00+00:00,74.05,74.05,74.05,74.05,1,SIL
2026-04-12T22:54:00+00:00,74.06,74.06,74.06,74.06,1,SIL
2026-04-12T22:55:00+00:00,74.065,74.08,74.05,74.05,6,SIL
2026-04-12T22:56:00+00:00,74.075,74.075,74.075,74.075,1,SIL
2026-04-12T23:00:00+00:00,73.995,73.995,73.995,73.995,1,SIL
2026-04-12T23:01:00+00:00,74.0,74.0,74.0,74.0,1,SIL
2026-04-12T23:03:00+00:00,74.01,74.01,74.01,74.01,1,SIL
2026-04-12T23:05:00+00:00,73.96,73.96,73.955,73.955,3,SIL
2026-04-12T23:06:00+00:00,73.925,73.925,73.915,73.915,2,SIL
2026-04-12T23:08:00+00:00,73.9,73.9,73.885,73.885,2,SIL
2026-04-12T23:10:00+00:00,73.87,73.87,73.87,73.87,1,SIL
2026-04-12T23:11:00+00:00,73.995,74.0,73.995,74.0,3,SIL
2026-04-12T23:12:00+00:00,73.89,73.89,73.89,73.89,1,SIL
2026-04-12T23:13:00+00:00,73.91,73.91,73.91,73.91,1,SIL
2026-04-12T23:15:00+00:00,73.91,73.91,73.91,73.91,1,SIL
2026-04-12T23:16:00+00:00,73.86,73.86,73.835,73.835,15,SIL
2026-04-12T23:17:00+00:00,73.755,73.755,73.755,73.755,1,SIL
2026-04-12T23:18:00+00:00,73.685,73.685,73.665,73.665,5,SIL
2026-04-12T23:19:00+00:00,73.675,73.69,73.675,73.69,2,SIL
2026-04-12T23:20:00+00:00,73.585,73.585,73.585,73.585,1,SIL
2026-04-12T23:21:00+00:00,73.47,73.47,73.45,73.45,2,SIL
2026-04-12T23:22:00+00:00,73.455,73.455,73.455,73.455,1,SIL
2026-04-12T23:23:00+00:00,73.575,73.6,73.575,73.6,3,SIL
2026-04-12T23:24:00+00:00,73.525,73.525,73.525,73.525,1,SIL
2026-04-12T23:25:00+00:00,73.67,73.69,73.67,73.69,3,SIL
2026-04-12T23:26:00+00:00,73.64,73.64,73.625,73.625,3,SIL
2026-04-12T23:27:00+00:00,73.705,73.75,73.705,73.75,2,SIL
2026-04-12T23:29:00+00:00,73.77,73.865,73.77,73.855,18,SIL
2026-04-12T23:31:00+00:00,73.83,73.83,73.83,73.83,1,SIL
2026-04-12T23:40:00+00:00,74.01,74.01,74.01,74.01,1,SIL
2026-04-12T23:41:00+00:00,73.97,73.97,73.97,73.97,1,SIL
