entry_time,exit_time,direction,model,tag,entry,exit,stop,target,reason,risk_ticks,total_r,moved_be,partial_taken
2022-12-28 10:38:00,2022-12-28 10:39:00,long,vwap_scalp,vwap_scalp_long,13543.25,13538.4375,13538.5,13570.0,stop,19.0,-1.013157894736842,False,False
2022-12-28 10:46:00,2022-12-28 10:47:00,long,vwap_scalp,vwap_scalp_long,13546.0,13539.9375,13540.0,13569.5,stop,24.0,-1.0104166666666667,False,False
2022-12-28 11:04:00,2022-12-28 11:08:00,long,vwap_rev,vwap_rev_long,13473.75,13473.6875,13467.5,13578.25,trail,25.0,-0.01,True,True
2022-12-28 11:52:00,2022-12-28 11:54:00,long,ou_lunch,ou_lunch_long,13451.75,13451.6875,13445.5,13554.0,trail,25.0,-0.01,True,True
2022-12-28 13:35:00,2022-12-28 13:36:00,short,pm_mom,pm_mom_short,13483.75,13491.0625,13491.0,13469.25,stop,29.0,-1.0086206896551724,False,False
2022-12-29 10:10:00,2022-12-29 10:13:00,short,or_rev,or_rev_short,13629.25,13639.3125,13639.25,13567.5,stop,40.0,-1.00625,False,False
2022-12-29 10:18:00,2022-12-29 10:19:00,short,pd_rev,pd_pdh_short,13648.25,13658.8125,13658.75,13597.0,stop,42.0,-1.005952380952381,False,False
2022-12-29 11:11:00,2022-12-29 11:13:00,short,ou_rev,ou_rev_short,13670.75,13658.3125,13677.75,13626.75,trail,28.0,1.7767857142857142,True,True
2022-12-29 11:50:00,2022-12-29 11:51:00,short,ou_lunch,ou_lunch_short,13704.75,13709.0625,13709.0,13636.5,stop,17.0,-1.0147058823529411,False,False
2022-12-29 11:58:00,2022-12-29 11:59:00,short,ou_lunch,ou_lunch_short,13714.75,13720.3125,13720.25,13640.5,stop,22.0,-1.0113636363636365,False,False
2022-12-29 12:36:00,2022-12-29 12:38:00,short,vwap_scalp,vwap_scalp_short,13684.5,13676.3125,13696.75,13666.0,trail,49.0,0.6683673469387755,True,True
2022-12-29 13:36:00,2022-12-29 13:38:00,short,pm_mom,pm_mom_short,13680.5,13680.5625,13685.0,13671.5,trail,18.0,-0.013888888888888888,True,True
2022-12-29 13:56:00,2022-12-29 13:59:00,short,ou_rev,ou_rev_short,13697.25,13702.0625,13702.0,13653.25,stop,19.0,-1.013157894736842,False,False
2022-12-30 09:50:00,2022-12-30 09:53:00,long,ou_rev,ou_rev_long,13519.75,13553.9375,13510.0,13565.25,trail,39.0,3.5064102564102564,True,True
2023-01-03 10:04:00,2023-01-03 10:05:00,long,or_rev,or_rev_long,13656.25,13642.9375,13643.0,13782.25,stop,53.0,-1.0047169811320755,False,False
2023-01-03 12:06:00,2023-01-03 12:08:00,long,ou_lunch,ou_lunch_long,13531.5,13550.9375,13520.75,13648.25,trail,43.0,1.808139534883721,True,True
2023-01-03 12:12:00,2023-01-03 12:14:00,long,ou_lunch,ou_lunch_long,13541.0,13548.1875,13535.5,13646.25,trail,22.0,1.3068181818181819,True,True
2023-01-04 10:08:00,2023-01-04 10:10:00,long,ou_rev,ou_rev_long,13551.0,13538.4375,13538.5,13635.25,stop,50.0,-1.005,False,False
2023-01-04 10:20:00,2023-01-04 10:22:00,long,vwap_scalp,vwap_scalp_long,13567.5,13567.4375,13559.25,13594.25,trail,33.0,-0.007575757575757576,True,True
2023-01-04 10:28:00,2023-01-04 10:31:00,long,ou_rev,ou_rev_long,13547.5,13570.9375,13532.0,13615.75,trail,62.0,1.5120967741935485,True,True
2023-01-04 10:36:00,2023-01-04 10:39:00,long,vwap_scalp,vwap_scalp_long,13561.75,13561.6875,13552.0,13586.5,trail,39.0,-0.00641025641025641,True,True
2023-01-04 10:41:00,2023-01-04 10:42:00,long,vwap_scalp,vwap_scalp_long,13559.75,13550.4375,13550.5,13584.75,stop,37.0,-1.0067567567567568,False,False
2023-01-04 11:42:00,2023-01-04 11:44:00,short,vwap_rev,vwap_rev_short,13717.5,13717.5625,13722.75,13618.75,trail,21.0,-0.011904761904761904,True,True
2023-01-04 13:32:00,2023-01-04 13:34:00,long,pm_mom,pm_mom_long,13682.5,13688.6875,13678.75,13690.0,trail,15.0,1.65,True,True
2023-01-05 09:57:00,2023-01-05 09:59:00,long,open_drive,open_drive_long,13517.75,13540.9375,13503.25,13546.75,trail,58.0,1.5991379310344827,True,True
2023-01-05 10:07:00,2023-01-05 10:09:00,long,open_drive,open_drive_long,13517.0,13582.1875,13507.5,13536.0,trail,38.0,6.8618421052631575,True,True
2023-01-06 10:21:00,2023-01-06 10:23:00,short,pd_rev,pd_pdh_short,13579.5,13563.0625,13593.5,13513.25,trail,56.0,1.1741071428571428,True,True
2023-01-06 10:39:00,2023-01-06 10:41:00,short,or_rev,or_rev_short,13606.0,13614.8125,13614.75,13525.25,stop,35.0,-1.0071428571428571,False,False
2023-01-06 11:58:00,2023-01-06 12:00:00,short,ou_lunch,ou_lunch_short,13688.75,13676.3125,13694.0,13569.25,trail,21.0,2.369047619047619,True,True
2023-01-09 10:02:00,2023-01-09 10:04:00,short,or_rev,or_rev_short,13961.5,13975.5625,13975.5,13874.5,stop,56.0,-1.0044642857142858,False,False
2023-01-09 12:42:00,2023-01-09 12:45:00,short,vwap_scalp,vwap_scalp_short,13993.5,13986.0625,13999.25,13980.25,trail,23.0,1.2934782608695652,True,True
2023-01-09 12:56:00,2023-01-09 12:58:00,short,ou_lunch,ou_lunch_short,14003.5,14007.0625,14007.0,13968.5,stop,14.0,-1.0178571428571428,False,False
2023-01-09 13:10:00,2023-01-09 13:13:00,short,ou_lunch,ou_lunch_short,14001.25,14001.3125,14009.0,13969.75,trail,31.0,-0.008064516129032258,True,True
2023-01-09 13:31:00,2023-01-09 13:33:00,short,ou_rev,ou_rev_short,14011.0,13996.3125,14016.75,13971.25,trail,23.0,2.5543478260869565,True,True
2023-01-10 10:18:00,2023-01-10 10:20:00,short,ou_rev,ou_rev_short,13931.0,13902.3125,13938.75,13860.5,trail,31.0,3.7016129032258065,True,True
2023-01-11 10:12:00,2023-01-11 10:14:00,short,ou_rev,ou_rev_short,14015.75,14001.8125,14022.25,13991.5,trail,26.0,2.144230769230769,True,True
2023-01-12 12:20:00,2023-01-12 12:21:00,short,vwap_scalp,vwap_scalp_short,14177.0,14182.8125,14182.75,14134.75,stop,23.0,-1.0108695652173914,False,False
