entry_time,exit_time,direction,model,tag,entry,exit,stop,target,reason,risk_ticks,total_r,moved_be,partial_taken
2023-03-08 10:08:00,2023-03-08 10:10:00,long,or_rev,or_rev_long,14810.25,14795.4375,14795.5,14845.5,stop,59.0,-1.0042,False,False
2023-03-08 10:35:00,2023-03-08 10:37:00,short,ou_rev,ou_rev_short,14872.0,14872.0625,14878.0,14826.0,trail,24.0,-0.0104,True,True
2023-03-08 11:09:00,2023-03-08 11:11:00,short,ou_rev,ou_rev_short,14882.5,14882.5625,14888.75,14833.25,trail,25.0,-0.01,True,True
2023-03-08 12:12:00,2023-03-08 12:13:00,short,kalman_mom,kalman_mom_short,14871.0,14858.0,14876.25,14858.0,target,21.0,2.4762,False,False
2023-03-08 12:30:00,2023-03-08 12:31:00,long,ema_rev,ema_rev_long,14847.5,14843.6875,14843.75,14863.25,stop,15.0,-1.0167,False,False
2023-03-08 13:31:00,2023-03-08 13:32:00,short,pm_mom,pm_mom_short,14805.75,14812.3125,14812.25,14792.75,stop,26.0,-1.0096,False,False
2023-03-08 13:52:00,2023-03-08 13:54:00,long,pd_rev,pd_pdl_long,14801.0,14814.6875,14796.5,14842.5,trail,18.0,3.0417,True,True
2023-03-09 10:02:00,2023-03-09 10:05:00,long,trend,trend_cont_long,14988.25,15002.6875,14974.75,15015.25,trail,54.0,1.0694,True,True
2023-03-09 10:36:00,2023-03-09 10:38:00,long,kalman_mom,kalman_mom_long,14992.5,14985.9375,14986.0,15008.75,stop,26.0,-1.0096,False,False
2023-03-09 10:43:00,2023-03-09 10:51:00,long,trend,trend_cont_long,14998.25,14984.9375,14985.0,15024.75,stop,53.0,-1.0047,False,False
2023-03-09 12:04:00,2023-03-09 12:06:00,long,vwap_rev,vwap_rev_long,14905.75,14905.6875,14898.75,14959.25,trail,28.0,-0.0089,True,True
2023-03-09 12:47:00,2023-03-09 12:49:00,long,vwap_rev,vwap_rev_long,14890.75,14890.6875,14886.5,14953.0,trail,17.0,-0.0147,True,True
2023-03-09 13:28:00,2023-03-09 13:29:00,long,ema_rev,ema_rev_long,14821.5,14813.6875,14813.75,14851.75,stop,31.0,-1.0081,False,False
2023-03-09 14:24:00,2023-03-09 14:25:00,long,pm_mom,pm_mom_long,14766.0,14776.5,14760.75,14776.5,target,21.0,2.0,False,False
2023-03-10 10:15:00,2023-03-10 10:16:00,long,kalman_mom,kalman_mom_long,14615.25,14612.1875,14612.25,14622.75,stop_ambiguous,12.0,-1.0208,False,False
2023-03-10 11:17:00,2023-03-10 11:18:00,long,pd_rev,pd_pdl_long,14636.75,14627.6875,14627.75,14654.75,stop,36.0,-1.0069,False,False
2023-03-10 11:28:00,2023-03-10 11:29:00,short,vwap_rev,vwap_rev_short,14693.5,14698.5625,14698.5,14605.0,stop,20.0,-1.0125,False,False
